name,price,used_for,transmission,colour,make_year,mileage,engine_cc,fuel,kilometer_run,warranty,types
Honda brio smt 2012 model seal pack engine (Honda),13.5,10 years,Manual 2WD,Blue,2012.0,14.0,1200.0,Petrol,59000.0,No,Sedan
Mazda 2 (Mazda),16.25,personal,Manual -  2WD,Unknown,2010.0,15.0,1500.0,Petrol,61000.0,No Warranty,Sedan
Grand Vitara 2007 model (Maruti Suzuki),19.5,personal,Manual -  4WD,Silver,2007.0,15.0,1200.0,Petrol,150762.0,No Warranty,Sedan
Polo 1.6 2013 Highline (Volkswagen),17.25,personal,Manual -  2WD,Unknown,2013.0,15.0,1200.0,Petrol,62000.0,No Warranty,Sedan
Mahindra E2o Electric Car (Mahindra),13.75,personal,Auto -  2WD,Unknown,2016.0,100.0,0.0,Electric,121855.0,No Warranty,Hatchback
swift vxi 2012 mode is for sale (Maruti Suzuki),16.75,persional,Manual -  2WD,Silver,2012.0,15.0,1200.0,Petrol,52000.0,accident free,Sedan
Second hand Bolt XM (Tata),19.99999,personal,Manual 2WD,White,2017.0,17.0,1200.0,Petrol,50000.0,No Warranty,Sedan
Suzuki car (Maruti Suzuki),7.5,personal,Manual 2WD,Gray,2008.0,18.0,800.0,Petrol,245640.0,No Warranty,Hatchback
सबै भन्दा सस्तो मूल्यमा indigo 2010 full option (Tata),7.95,personal use,Manual -  2WD,Silver,2010.0,18.0,1405.0,Diesel,64000.0,no,Sedan
2021 model Hyundai Venue-S 9847699255 (Hyundai),36.5,personal,Manual -  2WD,White,2021.0,15.0,1200.0,Petrol,21000.0,No Warranty,Sedan
KIA SELTOS HTK+2020 (Kia),42.75,Self,Manual -  2WD,Gray,2020.0,16.0,1500.0,Petrol,28500.0,No Warranty,Sedan
Magnite like new (Nissan),24.5,personal,Manual 2WD,Silver,2021.0,15.0,1000.0,Petrol,5600.0,No Warranty,Sedan
Second hand swift zxi (Maruti Suzuki),19.0,personal,Auto 2WD,Other,2013.0,18.0,1200.0,Petrol,45000.0,No Warranty,Sedan
Hyundai Creta E+ On Sale (Hyundai),39.5,personal,Manual -  2WD,White,2019.0,15.0,1600.0,Petrol,20000.0,No Warranty,Sedan
Maruti Suzuki Celerio Auto Gear On Sale (Maruti Suzuki),18.5,personal,Auto -  2WD,Green,2014.0,12.0,1000.0,Petrol,40000.0,No Warranty,Sedan
Second hand Nexon (Tata),34.0,personal,Auto 2WD,Blue,2018.0,18.0,1500.0,Diesel,40000.0,No Warranty,Sedan
Hyundai Santro On Sale (Hyundai),11.0,personal,Manual -  4WD,Silver,2007.0,15.0,1000.0,Petrol,60000.0,No Warranty,Sedan
Hyundai I20 Active S On Sale (Hyundai),28.5,personal,Manual -  2WD,Brown,2017.0,15.0,1200.0,Petrol,50000.0,No Warranty,Sedan
2010 model Tata Safari VX 7 sitter 4wd 9847699255 (Tata),11.75,personal,Manual -  4WD,Green,2010.0,16.0,2169.0,Diesel,70000.0,No Warranty,Sedan
Mahindra Scorpio S4 On Sale (Mahindra),31.5,personal,Manual -  2WD,Blue,2016.0,12.0,2200.0,Diesel,50000.0,No Warranty,Sedan
Full option Ford Ecosport for Sale (Ford),22.99,7 years,Manual 2WD,Other,2015.0,15.0,1499.0,Diesel,50000.0,No Warranty,Sedan
Airport Pick-up & Drop (Maruti Suzuki),15.0,personal,Manual -  2WD,Unknown,2015.0,15.0,1100.0,Petrol,127984.0,No Warranty,Sedan
VW Taigun for sale (Volkswagen),62.0,personal,Auto 2WD,Other,2021.0,15.0,1080.0,Petrol,17000.0,No Warranty,Sedan
Volkswagen Touareg 2010 (Volkswagen),62.0,12,Auto 4WD,White,2010.0,16.0,2967.0,Diesel,98000.0,No Warranty,SUV
Hyundai Creta 1.6 Gasoline Sx for sale (Hyundai),55.0,Private,Manual 2WD,White,2019.0,15.0,1591.0,Petrol,30000.0,No Warranty,Sedan
Renault duster (rxl) (Renault),24.0,private,Manual -  2WD,Red,2016.0,12.0,1596.0,Petrol,36000.0,no warranty,Sedan
Ufo jonway chinese (Other Chinese Brands),10.5,private,Manual -  2WD,White,2010.0,10.0,1596.0,Petrol,65000.0,no warranty,Sedan
santro 2003 (Hyundai),6.5,personal,Manual,Unknown,2003.0,15.0,1000.0,Petrol,222457.0,No Warranty,Sedan
Hyundai I20 Asta Diesel engine CRDI (Hyundai),13.75,personal,Manual 2WD,Silver,2010.0,20.0,1400.0,Diesel,47000.0,No Warranty,Sedan
SUPER FRESH CONDITION SUZUKI SWIFT DEZIRE ON SALE (Maruti Suzuki),11.85,12 years,Manual 2WD,Silver,2009.0,15.0,1300.0,Petrol,45000.0,No Warranty,Sedan
Tata Ace Ht 2017 (Tata),6.3,Halka saman matra bokeko,Auto -  2WD,Blue,2017.0,15.0,702.0,Diesel,5900.0,No,Hatchback
Maruti Suzuki Eeco Van 5seater With AC 2017 Model (Maruti Suzuki),14.75,personal,Manual -  2WD,White,2017.0,15.0,1196.0,Petrol,38300.0,No Warranty,Sedan
maruti suzuki brezza vxi 2021 (Maruti Suzuki),40.5,personal,Manual -  2WD,Silver,2021.0,20.0,1500.0,Petrol,17000.0,as per company rules,Sedan
Kia Sportage single hand with multiple airbag (Kia),57.0,personal,Manual -  4WD,Other,2016.0,16.0,2500.0,Diesel,36200.0,No Warranty,Sedan
maruti Suzuki Eeco van with AC (5seater) (Maruti Suzuki),14.75,personal,Manual -  2WD,White,2017.0,15.0,1196.0,Petrol,38300.0,No Warranty,Sedan
Mahindra Scorpio S4 plus 2016 single hand (Mahindra),33.0,personal,Manual,Silver,2016.0,15.0,2000.0,Petrol,56000.0,No Warranty,Sedan
Hyundai Kona Electric 150kW (Hyundai),65.0,1.5 years,Auto -  2WD,Blue,2020.0,50.0,0.0,Electric,20000.0,7 years battery warranty,Hatchback
Fresh Condition Suzuki Swift Vxi 2009 Model onsale (Maruti Suzuki),13.5,personal,Manual 2WD,Silver,2009.0,13.0,1298.0,Petrol,64000.0,No Warranty,Sedan
Hyundai tucson (Hyundai),23.5,private,Manual -  4WD,Blue,2009.0,12.0,2000.0,Diesel,73000.0,no warranty,Sedan
Fresh Condition I10 Magna 1.2 2013 Model For Sell (Hyundai),17.0,personal,Manual -  2WD,White,2013.0,14.0,1200.0,Petrol,62000.0,No Warranty,Sedan
Urgent Sale Tata xenon Doible cabin 4 WD 2015 (Tata),14.0,personal,Manual 4WD,Silver,2015.0,16.0,2200.0,Diesel,130000.0,No Warranty,Sedan
Hyundai Creta 2022 model (Hyundai),48.0,personal,Manual -  2WD,White,2022.0,20.0,1350.0,Diesel,18206.0,No Warranty,Sedan
hilux on sale (Toyota),76.0,personal,Auto -  4WD,White,2017.0,15.0,2700.0,Petrol,65000.0,nop,SUV
suzuki brezza zdi+ (Maruti Suzuki),31.0,private,Manual -  2WD,Other,2017.0,18.0,1248.0,Diesel,56000.0,no warranty,Sedan
Tata Sumo Victa 2008 (Tata),9.75,personal,Manual -  2WD,Silver,2008.0,20.0,1948.0,Diesel,56000.0,No Warranty,Sedan
I10 Magna 2009 ( 9851008482) (Hyundai),13.5,personal,Manual -  2WD,Black,2009.0,15.0,1197.0,Petrol,199897.0,No Warranty,Sedan
Eicher terra 16xp tipper sasto ma bikrima (Eicher),37.0,personal,Manual,Yellow,2021.0,16.0,4898.0,Diesel,3700.0,No Warranty,SUV
suzuki alto (Maruti Suzuki),6.99,personal use,Auto -  2WD,Silver,2007.0,18.0,800.0,Petrol,196674.0,No Warranty,Hatchback
Tata indica 500000 9860462630 (Tata),5.0,personal,Auto 2WD,Black,2007.0,15.0,1500.0,Petrol,20.0,No Warranty,Sedan
Swift Dzire 2010 Model (Maruti Suzuki),14.0,1 year,Manual,Other,2010.0,15.0,1300.0,Petrol,61000.0,1 week,Sedan
Ufo jeep for sale (Other Chinese Brands),15.0,personal,Manual 2WD,Black,2010.0,15.0,1600.0,Petrol,86000.0,No Warranty,Sedan
Excellent Condition Maruti Suzuki Alto 800 On Sale,12.5,personal,Manual -  2WD,Other,2015.0,18.0,800.0,Petrol,40352.0,No Warranty,Hatchback
omni cargo van 2012 for sale (Maruti Suzuki),5.25,few years,Manual -  2WD,White,2012.0,10.0,800.0,Petrol,8200.0,no,Hatchback
good condition somu gold ex 2016 ko fresh xa (Tata),15.0,privet,Manual -  2WD,Other,2016.0,14.0,2900.0,Diesel,80000.0,no,SUV
good condition bolero dubele cap 4×4 (Mahindra),17.5,privet,Manual -  4WD,White,2018.0,12.0,2523.0,Diesel,60000.0,no,SUV
Double Cabin bolero on Sell with full condition (Mahindra),13.5,personal,Auto 4WD,Unknown,2014.0,20.0,1500.0,Diesel,92786.0,No Warranty,Sedan
Like New 2021 Suzuki Wagon R up for sale (Maruti Suzuki),22.75,personal,Manual 2WD,Other,2021.0,15.0,1000.0,Petrol,15000.0,No Warranty,Sedan
Hyundai I 10 Megna car On sell. (Hyundai),13.25,personal,Auto -  2WD,Silver,2009.0,15.0,1200.0,Petrol,70000.0,No Warranty,Sedan
Swift Zxi 2015 Model With Push Bottom On Sale (Maruti Suzuki),21.49999,personal,Manual -  2WD,Red,2015.0,16.0,1200.0,Petrol,41100.0,No Warranty,Sedan
2017 model bolero flat body sale or exng with car (Mahindra),14.5,personal,Manual 2WD,White,2017.0,12.0,2500.0,Petrol,53000.0,No Warranty,Sedan
Maruti Suzuki Alto (Maruti Suzuki),11.0,singal hand,Manual,Silver,2011.0,17.0,1000.0,Petrol,58000.0,no,Sedan
Honda City Zxi (Honda),11.0,personal,Manual -  2WD,Silver,2007.0,15.0,1500.0,Petrol,75000.0,No Warranty,Sedan
Nissan Patrol Automatic (Nissan),115.0,personal,Auto 4WD,Silver,2014.0,16.0,3000.0,Diesel,119652.0,No Warranty,SUV
Hyundai i20 Active (Hyundai),25.0,7 years',Manual -  2WD,Silver,2016.0,15.0,1200.0,Petrol,81000.0,No,Sedan
Daihatsu terios 2014 model for sale (Daihatsu),43.0,personal,Manual 4WD,White,2014.0,15.0,1500.0,Petrol,59000.0,No Warranty,Sedan
Santro For Sale (Hyundai),11.5,Home,Manual -  2WD,Black,2007.0,13.0,1096.0,Petrol,57000.0,No Warranty,Sedan
2007 model maruti sujuki 800 car (Maruti Suzuki),5.15,personal,Auto -  2WD,White,2007.0,19.0,796.0,Petrol,147009.0,No Warranty,Hatchback
2002 model maruti 800 car (Maruti Suzuki),3.65,personal,Auto -  2WD,White,2002.0,18.0,796.0,Petrol,56000.0,No Warranty,Hatchback
Cargo Van (Maruti Suzuki),3.5,1 year,Auto -  2WD,Other,2010.0,10.0,800.0,Petrol,80000.0,No,Hatchback
Crane (Other Brands),25.0,personal,Manual 2WD,Unknown,2010.0,15.0,1200.0,Petrol,209259.0,No Warranty,Sedan
Swift Vxi 2009 (Maruti Suzuki),13.85,personal,Manual -  2WD,Blue,2009.0,14.0,1300.0,Petrol,76500.0,No Warranty,Sedan
Tata Ace xL (Tata),9.5,2 years,Manual -  2WD,Other,2020.0,24.0,700.0,Diesel,28250.0,No Warranty,Hatchback
MG ZS EV 2021 model (Other Brands),51.0,personal,Auto -  2WD,White,2021.0,100.0,0.0,Electric,30789.0,No Warranty,Hatchback
Jimny Suv (Maruti Suzuki),17.0,Personal,Manual -  4WD,Green,1998.0,18.0,1200.0,Petrol,98000.0,No,Sedan
Santro (Hyundai),22.25,personal,Manual 2WD,Other,2021.0,15.0,1086.0,Petrol,15000.0,No Warranty,Sedan
Hyundai i20 Asta 1.4 Automatic for Sale!!! (Hyundai),18.0,personal,Auto 2WD,Other,2010.0,15.0,1400.0,Petrol,76342.0,No Warranty,Sedan
Hyundai Santro Era 2021(9851008482) (Hyundai),22.25,personal,Manual -  2WD,Other,2021.0,15.0,1100.0,Petrol,15000.0,No Warranty,Sedan
Hyundai Santro 2014 Silver (Hyundai),16.0,sometimes,Manual 2WD,Silver,2014.0,14.0,1186.0,Petrol,35000.0,No Warranty,Sedan
For Sale (Eicher),6.5,personal,Auto -  4WD,Unknown,2015.0,20.0,1500.0,Diesel,118531.0,No Warranty,Sedan
nissan supersaloon sedan car (Nissan),12.5,personel use,Manual 2WD,Other,2006.0,13.0,1596.0,Petrol,69000.0,no,Sedan
Swift Zxi 2016 (Maruti Suzuki),22.6,personal,Manual -  2WD,Unknown,2016.0,15.0,1200.0,Petrol,42000.0,No Warranty,Sedan
2011 BOLERO DOUBLE CAB 4WD (Mahindra),9.5,personal,Manual 4WD,White,2011.0,12.0,2523.0,Diesel,77000.0,No Warranty,SUV
Single Hand 2015 Swift dzire zxi (Maruti Suzuki),21.0,personal,Manual 2WD,Other,2015.0,14.0,1197.0,Petrol,47000.0,No Warranty,Sedan
Single hand 2010 i20 asta (Hyundai),15.75,personal,Manual 2WD,Other,2010.0,13.0,1197.0,Petrol,58000.0,No Warranty,Sedan
Modified Small Hatchback Daihatshu cuore! (Daihatsu),5.75,1 year,Manual -  2WD,Blue,1997.0,12.0,850.0,Petrol,98521.0,No Warranty,Hatchback
14 model Bolero is in sale (Mahindra),10.5,Chicken suppliers,Manual 2WD,White,2014.0,10.0,2900.0,Diesel,790000.0,No,SUV
Ecosport Signature 2018(9851008482) (Ford),35.5,personal,Manual -  2WD,Blue,2018.0,15.0,1500.0,Petrol,63865.0,No Warranty,Sedan
Tata Zest 2017 (Tata),24.0,2 years,Manual -  2WD,Silver,2017.0,15.0,1200.0,Petrol,29000.0,3 years,Sedan
Hyundai eon era+ (Hyundai),10.75,personal,Manual -  2WD,Blue,2013.0,22.0,814.0,Petrol,45000.0,No Warranty,Hatchback
Scorpio S4 Urgently Sell Ma (Mahindra),26.5,7 Years,Auto -  2WD,White,2015.0,15.0,2179.0,Diesel,155000.0,No,Sedan
Ford Figo Titanium 2013 (Ford),12.0,Office and home,Manual -  2WD,White,2013.0,15.0,1200.0,Petrol,56000.0,No Warranty,Sedan
Automatic Suzuki celerio on sale (Maruti Suzuki),18.0,personal,Auto -  2WD,Green,2014.0,15.0,1000.0,Petrol,121444.0,No Warranty,Sedan
Santro 2010 Fresh (Hyundai),13.0,13 years,Manual -  2WD,White,2010.0,12.0,1100.0,Petrol,75000.0,Buy Back,Sedan
Toyota Pickup (Toyota),8.75,personal,Auto -  4WD,Red,1997.0,16.0,2800.0,Diesel,333080.0,No Warranty,SUV
santro bikrima (Hyundai),10.25,10,Manual -  2WD,Other,2006.0,18.0,1100.0,Petrol,100000.0,No Warranty,Sedan
Suzuki Swift 2007 (Maruti Suzuki),11.0,personal,Manual -  2WD,Unknown,2017.0,15.0,1300.0,Petrol,72256.0,No Warranty,Sedan
scorpio2015 (Mahindra),17.0,personal,Auto -  4WD,White,2015.0,20.0,1500.0,Diesel,87578.0,No Warranty,Sedan
2014 modal ko mahendra sell (Mahindra),8.95,personal,Auto -  2WD,Other,2014.0,12.0,5000.0,Diesel,9800.0,No Warranty,SUV
Hyundai i10 magna 1200 cc on sell (Hyundai),12.75,family,Manual -  2WD,Blue,2008.0,14.0,1200.0,Petrol,62000.0,no,Sedan
Nexon ev xz+ (Tata),36.0,13 months,Auto 2WD,White,2021.0,50.0,0.0,Electric,25000.0,8 years,Hatchback
Alto taxi (Maruti Suzuki),25.5,-,Auto -  2WD,Unknown,2018.0,15.0,800.0,Petrol,92286.0,No,Hatchback
Ford freestyle titanium 2018 (Ford),23.0,Personal,Auto 2WD,Other,2018.0,50.0,1200.0,Petrol,47000.0,No Warranty,Sedan
"Fresh, single handed, driven by doctor i10 sportz (Hyundai)",14.85,hospital to home,Manual -  2WD,Silver,2010.0,14.0,1200.0,Petrol,46374.0,No Warranty,Sedan
KIA SPORTAG on sale (Kia),20.0,personal,Auto 4WD,Other,2006.0,50.0,2000.0,Diesel,54000.0,No,Sedan
Hyundai tucson 1991 CC Fully loaded Four wheel 4×4 (Hyundai),20.5,13 year,Auto -  4WD,Other,2009.0,16.0,1991.0,Diesel,85000.0,No,Sedan
Sonata (Hyundai),27.0,11,Manual 2WD,Silver,2010.0,10.0,2000.0,Petrol,50000.0,No Warranty,Sedan
Kia Niro Ev (Kia),55.0,personal,Auto -  2WD,Silver,2019.0,100.0,0.0,Electric,46000.0,No Warranty,Hatchback
Scorpio Pick Up 2016 4wd,23.0,Valley,Manual -  4WD,Silver,2016.0,18.0,2500.0,Diesel,60965.0,No,Sedan
isuzu v-cross (Other Brands),44.99999,personal,Manual 4WD,Other,2017.0,16.0,2499.0,Diesel,56000.0,No Warranty,Sedan
Ford Ecosport (Ford),17.7,personal,Manual -  2WD,Black,2015.0,15.0,1500.0,Petrol,75000.0,No Warranty,Sedan
Land cruiser Prado vx 2017 model (Toyota),240.0,personal,Auto 4WD,Silver,2017.0,16.0,3000.0,Diesel,78564.0,No Warranty,SUV
2003 model ko Omni seater van on sale (Maruti Suzuki),4.0,20 years,Auto -  2WD,White,2003.0,14.0,796.0,Petrol,70000.0,No Warranty,Hatchback
Toyota Corolla LX exceptional condition for sale (Toyota),20.5,personal,Manual 2WD,Red,2009.0,18.0,1200.0,Petrol,77000.0,No Warranty,Sedan
Excellent 2012 ford Figo with 50 percent finance (Ford),9.85,9 years,Manual 2WD,Red,2012.0,12.0,1200.0,Petrol,52000.0,No Warranty,Sedan
Ford EcoSport wanted (Ford),18.0,personal,Manual 2WD,White,2016.0,15.0,1080.0,Petrol,50000.0,No Warranty,Sedan
Excellent Singlehand 2016 breeza (Maruti Suzuki),24.9,5 years,Manual 2WD,White,2016.0,18.0,1300.0,Petrol,47000.0,No Warranty,Sedan
Taxi 2004 For Sale (Maruti Suzuki),6.99,personal,Manual -  2WD,White,2004.0,50.0,800.0,Petrol,69000.0,No Warranty,Hatchback
Excellent Condition Suzuki Swift Vxi 2009 on sale (Maruti Suzuki),13.75,personal,Manual 2WD,Silver,2009.0,13.0,1298.0,Petrol,209714.0,No Warranty,Sedan
Santro 2003 Model (Hyundai),7.75,personal,Manual -  2WD,Blue,2003.0,15.0,1100.0,Petrol,80000.0,No Warranty,Sedan
Ford Eco Sport on sale (Ford),21.5,personal,Auto 2WD,White,2015.0,14.0,1500.0,Petrol,42000.0,No Warranty,Sedan
Need Hyundai i10 (Hyundai),14.0,personal,Auto 2WD,Unknown,2012.0,15.0,1200.0,Petrol,181972.0,No Warranty,Sedan
i20 2016 urgent sale (Hyundai),24.0,personal,Manual -  2WD,Blue,2016.0,15.0,1200.0,Petrol,30000.0,No Warranty,Sedan
"urgent sell,9844502651.9813628286 (Mahindra)",15.0,8,Auto -  4WD,White,2020.0,50.0,1200.0,Diesel,59371.0,1 year,Sedan
urjent (Tata),10.5,personal,Auto -  2WD,Blue,2021.0,18.0,800.0,Diesel,30000.0,No Warranty,Hatchback
Hyundai I10 magna 2014 (Hyundai),17.5,personal,Manual -  2WD,Other,2014.0,15.0,1200.0,Petrol,127048.0,No Warranty,Sedan
I20 Magna (Hyundai),14.5,personal,Manual 2WD,Silver,2010.0,12.0,1200.0,Petrol,53000.0,No Warranty,Sedan
Isuzu higher lander truck (Other Brands),45.0,any where,Manual -  4WD,White,2020.0,11.0,2500.0,Diesel,55000.0,company warranty,Sedan
car (Chevrolet),5.75,personal,Manual -  2WD,Unknown,2012.0,15.0,1000.0,Petrol,25000.0,No Warranty,Sedan
yodha ba 18 cha 2125 (Tata),9.0,6 years,Manual -  2WD,White,2017.0,10.0,2900.0,Diesel,1700000.0,No Warranty,SUV
6 lakh good condition all tyre new (Kia),6.0,3year,Auto 2WD,Gray,2004.0,15.0,1300.0,Petrol,45000.0,Two months,Sedan
Ssangyong Rexton Automatic 4WD (Ssangyong),110.0,personal,Auto 4WD,Black,2017.0,16.0,2157.0,Diesel,35000.0,No Warranty,Sedan
Nissan micra 2017 is on sale (Nissan),14.5,personal,Manual -  2WD,Silver,2017.0,12.0,1200.0,Petrol,40000.0,No Warranty,Sedan
Ecosport Titanium Full Option 2021 Ford (Ford),34.5,Self,Manual 2WD,Silver,2021.0,50.0,1497.0,Petrol,30000.0,Company Warrenty,Sedan
Ford Figo (Ford),16.0,5,Manual 4WD,Red,2017.0,20.0,1656.0,Diesel,70000.0,No Warranty,Sedan
Celerio X ZXI 2018 Maruti Suzuki (Maruti Suzuki),21.5,personal,Auto 4WD,White,2018.0,20.0,998.0,Petrol,38000.0,No Warranty,Hatchback
2008 MODEL TOYOTA PRADO JEEP ON SALE (Toyota),70.0,PRIVATE,Manual 4WD,Silver,2008.0,50.0,3000.0,Diesel,110000.0,NO,SUV
Kia Sportage 2010 AWD for sell (Kia),24.5,personal,Auto 4WD,Other,2010.0,10.0,1998.0,Petrol,56000.0,No Warranty,Sedan
Bolero (Tata),16.0,personal,Manual 4WD,White,2016.0,16.0,2523.0,Diesel,120299.0,No Warranty,SUV
Honda Amaze 1.2 SMT 2014 (Honda),17.75,personal,Manual 2WD,Brown,2014.0,15.0,1200.0,Petrol,57000.0,No Warranty,Sedan
Nissan Sunny FE 1998 (Diesel) (Nissan),4.25,personal,Manual 2WD,Silver,1998.0,20.0,2000.0,Diesel,234965.0,No Warranty,Sedan
2014 model single hand alto car (Maruti Suzuki),12.5,personal,Manual -  2WD,Silver,2014.0,17.0,800.0,Petrol,23000.0,no,Hatchback
Swift VXI 2016 (Maruti Suzuki),20.0,personal,Manual 2WD,Silver,2016.0,15.0,1200.0,Petrol,49000.0,No Warranty,Sedan
Land Cruiser Prado 1998 On Sale (Toyota),34.0,24 years,Manual -  4WD,Blue,1998.0,10.0,2800.0,Diesel,146000.0,No warranty,SUV
Hyundai Creta S 2015 (Hyundai),29.5,personal,Manual 2WD,Silver,2015.0,15.0,1600.0,Petrol,88299.0,No Warranty,Sedan
Urgent Sale (Safari) (Tata),8.5,15 Years,Auto 2WD,Gray,2006.0,12.0,2950.0,Diesel,1500.0,No Warranty,SUV
Second hand isuzu Dmax (Other Brands),15.0,personal,Manual 2WD,White,2018.0,16.0,2999.0,Diesel,35000.0,No Warranty,SUV
Second hand car (Tata),13.0,personal,Manual 2WD,White,2014.0,20.0,1248.0,Diesel,50000.0,No Warranty,Sedan
brand new suzuki ignis 2022 (Maruti Suzuki),34.74,New,Manual 2WD,Blue,2022.0,17.0,1197.0,Petrol,315.0,As per company rules,Sedan
urjent sale (Hyundai),11.25,5 years,Auto 2WD,Gray,2008.0,50.0,1086.0,Petrol,76009.0,No Warranty,Sedan
Sale of Car (Datsun),15.0,personal,Manual,Other,2017.0,15.0,1200.0,Petrol,14000.0,No Warranty,Sedan
BMW 318i 2003 Model with Automatic Gear (Other Brands),45.0,personal,Auto 2WD,Blue,2003.0,15.0,2000.0,Petrol,62000.0,No Warranty,Sedan
Nissan Super Saloon 2007 Model (Nissan),12.5,personal,Manual 2WD,Other,2007.0,15.0,1500.0,Petrol,90000.0,No Warranty,Sedan
Ford Endeavour 2016 Model with Automatic Gear (Ford),83.0,personal,Auto 4WD,White,2016.0,16.0,3200.0,Diesel,73000.0,No Warranty,SUV
Tata ALTROZ top verient (Tata),29.0,1 and half year,Manual 2WD,Silver,2021.0,16.0,1200.0,Petrol,13000.0,No Warranty,Sedan
venue (Hyundai),31.0,1.5,Manual 2WD,Silver,2020.0,20.0,1200.0,Petrol,6700.0,No Warranty,Sedan
toyota lx 2008 (Toyota),19.5,14 years,Manual -  2WD,Gray,2008.0,11.0,1600.0,Petrol,71000.0,no,Sedan
Hundai tucson 2009 on sell (Hyundai),21.0,2 years,Manual 4WD,Silver,2009.0,12.0,2000.0,Diesel,90000.0,No Warranty,Sedan
Kia Hiace for sale. (Kia),14.0,personal,Manual 2WD,Silver,2011.0,16.0,2600.0,Diesel,114000.0,No Warranty,SUV
suzuki (Maruti Suzuki),8.6,personal,Manual -  2WD,Red,2009.0,17.0,800.0,Petrol,67.0,No Warranty,Hatchback
Hyundai I10 for sale (Hyundai),18.5,Personal,Manual,Other,2015.0,15.0,1100.0,Petrol,19800.0,No Warranty,Sedan
Santro Xing 10 model Gandaki Zone (Hyundai),11.65,12 Years,Manual 2WD,Red,2010.0,50.0,1075.0,Petrol,50000.0,No Warranty,Sedan
Santro Xing 2007 full option (Hyundai),9.5,16 Years,Manual 2WD,White,2007.0,18.0,1047.0,Petrol,67000.0,No Warranty,Sedan
VW POLO 1.6 (Volkswagen),22.0,9 yrs,Manual 2WD,Silver,2014.0,15.0,1600.0,Petrol,47000.0,No Warranty,Sedan
Maruti 2019cargo van (Maruti Suzuki),6.85,2,Auto 2WD,White,2019.0,12.0,800.0,Petrol,43628.0,No Warranty,Hatchback
Cheverolet spark (american brand) (Chevrolet),7.25,personal,Manual 2WD,Red,2009.0,18.0,995.0,Petrol,63000.0,No Warranty,Hatchback
Creta XsO CVT auto top 2021 (Hyundai),66.5,1year,Auto 2WD,White,2021.0,50.0,1499.0,Petrol,17000.0,4years,Sedan
"VOLKSWAGEN POLO 1.6 , 2014 model, Hatchback (Volkswagen)",20.0,Personal single handed,Manual,Silver,2014.0,15.0,1600.0,Petrol,21000.0,No Warranty,Sedan
Baleno Zeta 2016 Bagmati (Maruti Suzuki),22.5,personal,Manual -  2WD,White,2016.0,15.0,1200.0,Petrol,59000.0,No Warranty,Sedan
Excellent Condition Alto 800 Lxi 2015 For Sell (Maruti Suzuki),12.5,personal,Manual -  2WD,Other,2015.0,18.0,800.0,Petrol,40000.0,No Warranty,Hatchback
omni cargo (Maruti Suzuki),6.35,personal,Manual -  2WD,Unknown,2018.0,15.0,1080.0,Petrol,64454.0,No Warranty,Sedan
Car (Other Chinese Brands),10.0,personal,Manual -  2WD,Red,2008.0,15.0,1300.0,Petrol,20000.0,No Warranty,Sedan
chevrolet aveo luxurious car for sale (Chevrolet),10.5,personal,Manual -  4WD,Other,2008.0,11.0,1600.0,Petrol,68000.0,no warenty,Sedan
volkswagen polo highline 1.6 2013 (Volkswagen),16.75,personal,Manual -  2WD,Silver,2013.0,15.0,1600.0,Petrol,123183.0,No Warranty,Sedan
Like a new MG zs (EV) 110 kw (Other Brands),55.0,Pravite,Auto 2WD,White,2021.0,50.0,0.0,Electric,20000.0,Due,Hatchback
Sell or exchange (Ford),19.75,Personal,Manual 2WD,Other,2013.0,15.0,1500.0,Petrol,31000.0,No Warranty,Sedan
car on sale (Mitsubishi),22.5,company,Manual -  4WD,White,2007.0,16.0,2495.0,Diesel,176013.0,no,Sedan
Tucson 2009 model URGENT sale (Hyundai),23.0,personal,Manual 4WD,Blue,2009.0,20.0,1997.0,Diesel,67000.0,No Warranty,Sedan
Mahindra Scorpio S5 4WD (Mahindra),39.0,personal,Manual -  4WD,White,2017.0,14.0,2179.0,Diesel,70.0,No,Sedan
Hyundai Elantra 2011 Model (Hyundai),30.0,personal,Manual -  2WD,Blue,2011.0,15.0,1600.0,Petrol,65000.0,No Warranty,Sedan
kia rio fully fresh (Kia),8.75,few years,Manual -  2WD,Silver,2007.0,11.0,1400.0,Petrol,68000.0,no,Sedan
car (Maruti Suzuki),13.0,personal,Manual -  2WD,Silver,2010.0,13.0,1200.0,Petrol,68000.0,no,Sedan
Suzuki WagonR 2016 vxi single hand excellent condi (Maruti Suzuki),16.5,6 year,Manual 2WD,Other,2016.0,14.0,1000.0,Petrol,37000.0,1 year,Sedan
Suzuki swift 2021 Zxi+ top option single hand (Maruti Suzuki),28.5,1 year,Manual 2WD,White,2021.0,14.0,1200.0,Petrol,22000.0,In company warranty,Sedan
Brand New Brezza 2023 Model (Maruti Suzuki),52.99,personal,Manual -  2WD,Unknown,2023.0,19.0,1462.0,Hybrid,14366.0,As per company rules,Sedan
ford ecosport 2014 automatic (Ford),24.5,personal,Auto -  2WD,Silver,2014.0,14.0,1200.0,Petrol,44000.0,No Warranty,Sedan
Hyundai Tucson On Sale (Hyundai),21.5,Short time,Auto 4WD,Other,2008.0,12.0,2000.0,Diesel,65000.0,No,Sedan
