name,price,used_for,transmission,colour,make_year,mileage,engine_cc,fuel,kilometer_run,warranty,types
car sell (Nissan),5.5,personal,Auto -  2WD,Unknown,1997.0,20.0,1500.0,Diesel,343656.0,No Warranty,Sedan
2023 Nissan Magnite XE (Nissan),33.99,personal,Manual -  2WD,Brown,2023.0,18.0,999.0,Petrol,13498.0,No Warranty,Hatchback
Spark (Chevrolet),5.75,home office,Manual -  2WD,Other,2007.0,12.0,1200.0,Petrol,145319.0,No Warranty,Sedan
i20 activeS2016 just like brand new exchange offer (Hyundai),28.5,personal,Manual -  2WD,Unknown,2017.0,15.0,1080.0,Petrol,38000.0,No Warranty,Sedan
wagonar bikrima (Maruti Suzuki),10.5,13,Manual -  2WD,Red,2010.0,15.0,1086.0,Petrol,75000.0,No,Sedan
santro bikrima (Hyundai),10.5,16,Manual -  2WD,White,2007.0,14.0,1086.0,Petrol,71000.0,No,Sedan
ZEN 2006 (Maruti Suzuki),7.49,personal,Manual -  4WD,Silver,2006.0,16.0,1000.0,Petrol,74000.0,No Warranty,Sedan
Creta SX 2019 Like new (Hyundai),43.0,32 months,Manual 2WD,White,2019.0,14.0,1600.0,Petrol,24000.0,No Warranty,Sedan
Wagon R 2009 (Maruti Suzuki),8.95,personal,Manual -  2WD,Unknown,2009.0,15.0,1200.0,Petrol,230750.0,No Warranty,Sedan
2010 i 10 MAGNA (Hyundai),14.0,personal,Manual -  2WD,Blue,2010.0,15.0,1200.0,Petrol,39888.0,No Warranty,Sedan
Hyundai Accent 2006 Narayani Number (Hyundai),5.5,personal,Manual -  2WD,Unknown,2006.0,17.0,1400.0,Petrol,259084.0,No Warranty,Sedan
Honda Jazz 2016 model (Honda),23.5,6 years,Manual 2WD,White,2016.0,15.0,1200.0,Petrol,34200.0,No Warranty,Sedan
maruti suzuki ZEN LX (Maruti Suzuki),4.75,1,Auto -  2WD,Silver,2002.0,18.0,1000.0,Petrol,70000.0,No Warranty,Sedan
Truck for sale (Tata),18.25,Supply Transportation,Manual,Other,2017.0,20.0,1350.0,Diesel,69501.0,No Warranty,Sedan
School Bus On Sale,21.0,School,Manual -  2WD,Yellow,2016.0,10.0,3700.0,Diesel,30000.0,No,SUV
Single hand Honda Jazz VMT Fully Loaded (Honda),24.5,6 years,Manual 2WD,Other,2016.0,12.0,1200.0,Petrol,30000.0,Yes,Sedan
TATA 709 EX SCHOOL BUS (Tata),7.0,12 years,Auto -  2WD,Yellow,2012.0,5.0,3783.0,Diesel,60000.0,No,SUV
Nissan sunny 2014 full option sedan for sale (Nissan),15.99999,personal,Manual 2WD,Other,2014.0,18.0,250.0,Petrol,42500.0,No Warranty,Hatchback
Nissan kicks XV 2021 (Nissan),44.99999,personal,Manual -  4WD,Other,2021.0,50.0,1080.0,Petrol,3700.0,No Warranty,Sedan
Haval H6 AWD 2021 Top Version (Great Wall Motors),97.0,personal,Auto 4WD,Blue,2021.0,15.0,1080.0,Petrol,16777.0,No Warranty,Sedan
ford figo 2016 (Ford),15.5,personal,Manual 4WD,Unknown,2016.0,15.0,1080.0,Petrol,77673.0,No Warranty,Sedan
Volkswagen Polo 1.6 (Volkswagen),16.5,few times,Manual 2WD,Other,2011.0,12.0,1600.0,Petrol,55708.0,No Warranty,Sedan
kia pincato 2010 full option (Kia),97.5,personal use,Auto -  2WD,Gray,2010.0,18.0,1200.0,Petrol,57000.0,6 month on engine /gear box /clus plate,Sedan
